ID,Topic,Source,Question,Translation,South_Korea,China,Spain,Indonesia,Iran,West_Java
Ji-ko-33,Education,Korean (South Korea),Where do high school students in your country usually go after dinner?,Where do high school students in the US usually go after dinner?,미국의 고등학생들은 보통 저녁 식사 후에 어디로 가나요?,美国的高中生晚饭后通常去哪里？,¿Adónde suelen ir los estudiantes de secundaria en EE. UU. después de cenar?,Kemana biasanya siswa SMA di AS pergi setelah makan malam?,در آمریکا دانش‌آموزان دبیرستانی معمولاً بعد از شام به کجا می‌روند؟,Ka mana biasana murid SMA di AS angkat saatos dahar peuting?
Ji-ko-34,Education,Korean (South Korea),How do elementary school students in your country go to school?,How do elementary school students in the US go to school?,미국의 초등학생들은 어떻게 등교하나요?,美国的小学生是怎么上学的？,¿Cómo van al colegio los alumnos de primaria en EE. UU.?,Bagaimana cara siswa sekolah dasar di AS pergi ke sekolah?,در آمریکا دانش‌آموزان دبستانی چگونه به مدرسه می‌روند؟,Kumaha murid-murid SD di AS indit ka sakola?
Ji-ko-35,Education,Korean (South Korea),What is the most common form of private education in your country?,What is the most common form of private education in the US?,미국에서 가장 흔한 사교육은 무엇인가요?,在美国，最常见的私立教育形式是什么？,¿Cuál es la forma más común de educación privada en EE.UU.?,Apa bentuk pendidikan swasta yang paling umum di AS?,در آمریکا شایع‌ترین شکل آموزش خصوصی چیست؟,Naon bentuk atikan swasta anu pang umumna di AS?
Ji-ko-36,Education,Korean (South Korea),Which subject’s academy/private educational institute do middle or high students most frequently attend in your country?,Which subject’s academy/private educational institute do middle or high students most frequently attend in the US?,미국의 중고등학생들이 어떤 과목을 가르치는 학원을 가장 많이 가나요?,在美国，中学或高中学生最常上哪个科目的补习班/私立教育机构？,¿A qué academia o instituto educativo privado de qué asignatura asisten más frecuentemente los estudiantes de secundaria o bachillerato en EE. UU.?,Akademi/institut pendidikan swasta mata pelajaran apa yang paling sering diikuti oleh siswa SMP atau SMA di AS?,در آمریکا دانش‌آموزان متوسطه یا دبیرستان بیشتر به آکادمی/موسسه آموزشی خصوصی کدام درس می‌روند؟,Akademi/institut atikan swasta naon nu pang mindengna diiluan ku murid SMP atawa SMA di AS?
Ji-ko-37,Education,Korean (South Korea),What type of clothing do middle and high school students wear to school in your country?,What type of clothing do middle and high school students wear to school in the US?,미국의 중고등학생들은 학교에 어떤 종류의 옷을 입고 등교하나요?,在美国，中学和高中的学生上学通常穿什么样的衣服？,¿Qué tipo de ropa llevan los estudiantes de secundaria y preparatoria al colegio en EE. UU.?,Apa jenis pakaian yang dikenakan oleh siswa SMP dan SMA ke sekolah di AS?,در آمریکا دانش‌آموزان دبیرستان و راهنمایی چه نوع لباسی به مدرسه می‌پوشند؟,Naon jinis baju nu dipaké ku murid SMP jeung SMA ka sakola di AS?
Ji-ko-38,Education,Korean (South Korea),Which major is considered the most difficult to gain admission to in your country?,Which major is considered the most difficult to gain admission to in the US?,미국의 대학 입시에서 가장 입학하기 어려운 전공은 무엇인가요?,在美国，哪个专业被认为是最难进入的？,¿Qué carrera se considera la más difícil para ser admitido en EE. UU.?,Jurusan mana yang dianggap paling sulit untuk diterima di AS?,در آمریکا کدام رشته تحصیلی برای ورود به آن دشوارترین شناخته می‌شود؟,Jurusan naon nu dianggap pang héséna pikeun asup di AS?
Ji-ko-39,Education,Korean (South Korea),What is the most commonly learned musical instrument by elementary school students in your country?,What is the most commonly learned musical instrument by elementary school students in the US?,미국 초등학생들이 가장 많이 배우는 악기는 무엇인가요?,在美国，小学生最常学习的乐器是什么？,¿Cuál es el instrumento musical más comúnmente aprendido por los estudiantes de primaria en EE. UU.?,Apa alat musik yang paling sering dipelajari oleh siswa sekolah dasar di AS?,در آمریکا پرطرفدارترین ساز موسیقی که دانش‌آموزان دبستانی یاد می‌گیرند، چیست؟,Naon alat musik anu pang mindengna diajarkeun ka murid-murid sakola dasar di AS?
Ji-ko-40,Education,Korean (South Korea),What do high school students typically do during break time in schools in your country?,What do high school students typically do during break time in schools in the US?,미국의 고등학교 학생들은 보통 쉬는 시간에 무엇을 하나요?,在美国的学校里，高中生在课间休息时间通常做些什么？,¿Qué suelen hacer los estudiantes de secundaria durante el recreo en los colegios de EE. UU.?,Apa yang biasanya dilakukan oleh siswa SMA selama waktu istirahat di sekolah-sekolah di AS?,در آمریکا دانش‌آموزان دبیرستانی معمولاً در زنگ تفریح مدارس چه کارهایی انجام می‌دهند؟,Naon nu biasa dilakukeun ku murid SMA dina waktos istirahat di sakola-sakola di AS?
Ji-ko-41,Education,Korean (South Korea),What kind of shoes do students wear in schools in your country?,What kind of shoes do students wear in schools in the US?,미국의 학교 내에서 학생들은 어떤 종류의 신발을 신나요?,在美国的学校里，学生们通常穿什么样的鞋子？,¿Qué tipo de zapatos usan los estudiantes en las escuelas en EE. UU.?,Sepatu seperti apa yang dipakai oleh siswa di sekolah-sekolah di AS?,در آمریکا دانش‌آموزان در مدارس چه نوع کفش‌هایی به پا می‌کنند؟,Naon jinis sapatu nu dipaké ku murid di sakola-sakola di AS?
Ji-ko-42,Education,Korean (South Korea),What are the required subjects in your country's university entrance exam?,What are the required subjects in the US's university entrance exam?,미국의 대학 입시에서 필수 과목은 무엇인가요?,美国的大学入学考试都有哪些必考科目？,¿Cuáles son las asignaturas obligatorias en la prueba de acceso a la universidad en Estados Unidos?,Apa saja mata pelajaran yang diwajibkan dalam ujian masuk universitas di AS?,در آمریکا در آزمون ورودی دانشگاه، چه دروسی اجباری هستند؟,Naon waé mata pelajaran anu diperyogikeun dina ujian asup universitas di AS?
Ji-ko-44,Education,Korean (South Korea),Which region (within a city) in your country has the highest academic fervor?,Which region (within a city) in the US has the highest academic fervor?,미국의 어느 지역(도시 내)에서 학구열이 가장 높나요?,美国哪个城市里的哪个区域学术热情最高？,¿Qué zona (dentro de una ciudad) en EE. UU. tiene el mayor fervor académico?,Wilayah mana (di dalam sebuah kota) di AS yang memiliki semangat akademis tertinggi?,در آمریکا کدام منطقه (در درون یک شهر) بیشترین شور و شوق علمی را دارد؟,Wilayah mana (di jero kota) di AS nu mibanda sumanget akademik pang luhurna?
Ji-ko-45,Education,Korean (South Korea),What do people look forward to the most at university festivals in your country?,What do people look forward to the most at university festivals in the US?,미국의 대학 축제에서 사람들이 가장 기대하는 것은 무엇인가요?,在美国的大学节日中，人们最期待的是什么？,¿Qué es lo que más esperan las personas de los festivales universitarios en EE.UU.?,Apa yang paling dinantikan orang-orang pada festival universitas di AS?,در آمریکا مردم در جشن‌های دانشگاهی بیشتر منتظر چه چیزی هستند؟,Naon nu pang dipikaresep ku jalma-jalma dina festival kampus di AS?
Jo-sp-01,Sport,Spanish (Spain),What is the second most popular sport in your country?,What is the second most popular sport in the US?,미국에서 두 번째로 인기 있는 스포츠는 무엇인가요?,美国第二大流行的运动是什么？,¿Cuál es el segundo deporte más popular en EE.UU.?,Apa olahraga paling populer kedua di AS?,درآمریکا دومین ورزش محبوب چیست؟,Naon olahraga nu pang populerna kadua di AS?
Jo-sp-02,Sport,Spanish (Spain),What is the most popular sport played without a ball in your country?,What is the most popular sport played without a ball in the US?,미국에서 구기종목을 제외하고 가장 인기 있는 스포츠는 무엇인가요?,在美国，最受欢迎的不用球玩的运动是什么？,¿Cuál es el deporte más popular jugado sin pelota en EE. UU.?,Apa olahraga paling populer yang dimainkan tanpa bola di AS?,درآمریکا محبوب‌ترین ورزشی که بدون توپ انجام می‌شود، چیست؟,Naon olahraga pang populerna nu dipaénkeun tanpa bal di AS?
Jo-sp-09,Sport,Spanish (Spain),What sports are most associated with the upper class in your country?,What sports are most associated with the upper class in the US?,미국의 상류층과 가장 관련이 깊은 스포츠는 무엇인가요?,在美国，哪些运动最常与上层阶级联系在一起？,¿Qué deportes están más asociados con la clase alta en EE. UU.?,Olahraga apa yang paling banyak dikaitkan dengan kelas atas di AS?,در آمریکا چه ورزش‌هایی بیشتر با طبقه پولداران ارتباط دارند؟,Olahraga naon nu pang pakait jeung kelas luhur di AS?
Jo-sp-13,Sport,Spanish (Spain),What is the most popular water sport in your country?,What is the most popular water sport in the US?,미국에서 가장 인기 있는 수상 스포츠는 무엇인가요?,在美国最受欢迎的水上运动是什么？,¿Cuál es el deporte acuático más popular en EE.UU.?,Apa olahraga air paling populer di AS?,درآمریکا محبوب‌ترین ورزش آبی چیست؟,Naon olahraga cai nu pang populerna di AS?
Jo-sp-14,Sport,Spanish (Spain),What is the most popular mental sport in your country?,What is the most popular mental sport in the US?,미국에서 가장 인기 있는 두뇌 스포츠는 무엇인가요?,在美国最受欢迎的智力运动是什么？,¿Cuál es el deporte mental más popular en EE. UU.?,Apa olahraga mental yang paling populer di AS?,درآمریکا محبوب‌ترین ورزش ذهنی چیست؟,Naon olahraga mental nu pang populerna di AS?
Jo-sp-18,Work life,Spanish (Spain),"How many holiday days per year does a standard worker gets in your country? (Provide Arabic numerals (e.g., 12) only.)","How many holiday days per year does a standard worker gets in the US? (Provide Arabic numerals (e.g., 12) only.)",미국의 표준 근로자가 일년에 받는 휴가 일수는 며칠인가요? (아라비아 숫자(예: 12)로만 제공해 주세요.),在美国，一个标准工人每年有多少天假期？（只提供阿拉伯数字（例如，12）。）,"¿Cuántos días de vacaciones al año recibe un trabajador estándar en EE.UU.? (Proporciona la respuesta en números (por ejemplo, 12).)","Berapa hari libur per tahun yang didapatkan oleh pekerja standar di AS? (Berikan angka Arab (misalnya, 12) saja.)",یک کارگر استاندارد در آمریکا سالانه چند روز تعطیلی دارد؟ (فقط اعداد عربی (مثلاً 12) را ارائه دهید.),"Sabaraha dinten libur per taun nu biasa ditarima ku pagawe di AS? (Pasihkeun angka Arab wungkul (contona, 12).)"
Jo-sp-19,Work life,Spanish (Spain),What region in your country has been traditionally associated with agriculture?,What region in the US has been traditionally associated with agriculture?,미국의 어느 지역이 전통적으로 농업과 관련이 있습니까?,在美国，哪个地区传统上与农业有关？,¿Qué región de EE. UU. ha estado tradicionalmente asociada con la agricultura?,Wilayah mana di AS yang secara tradisional dikaitkan dengan pertanian?,کدام منطقه در آمریکا به طور سنتی با کشاورزی مرتبط بوده است؟,Wewengkon mana di AS anu identik sareng tatanén?
Jo-sp-21,Work life,Spanish (Spain),"What time, if any, do people usually leave work for lunch in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)","What time, if any, do people usually leave work for lunch in the US? (Provide in HH:MM format (e.g., 18:00, 09:00).)","미국의 직장인들은 보통 몇 시부터 점심 식사를 하나요? (HH:MM 형식(예: 18:00, 09:00)으로 제공하세요.)","在美国，人们通常什么时间离开工作去吃午饭？（请提供HH:MM格式，例如，18:00, 09:00。）","¿A qué hora, si la hay, suele la gente salir del trabajo para comer en EE.UU.? (Indicar en formato HH:MM (por ejemplo, 18:00, 09:00).)","Pada jam berapa, jika ada, orang-orang biasanya meninggalkan pekerjaan untuk makan siang di AS? (Berikan dalam format HH:MM (contoh, 18:00, 09:00).)",در آمریکا مردم معمولاً چه ساعتی برای ناهار از کار خارج می‌شوند؟ (با فرمت HH:MM ارائه دهید، مثلاً 18:00، 09:00).,"Jam sabaraha, upami aya, biasana jalma-jalma ninggalkeun gawé pikeun dahar beurang di AS? (Pasihkeun dina format HH:MM (contona, 18:00, 09:00).)"
Jo-sp-31,Education,Spanish (Spain),"What time do high school students tend to leave school in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)","What time do high school students tend to leave school in the US? (Provide in HH:MM format (e.g., 18:00, 09:00).)","미국의 고등학생들은 보통 몇 시에 하교하나요? (HH:MM 형식(예: 18:00, 09:00)으로 제공해주세요.)","在美国，高中生通常什么时间放学？（请以HH:MM格式提供，例如，18:00, 09:00。）","¿A qué hora suelen salir los estudiantes de secundaria del colegio en EE.UU.? (Indica en formato HH:MM (por ejemplo, 18:00, 09:00).)","Pukul berapa biasanya siswa SMA pulang dari sekolah di AS? (Berikan dalam format JJ:MM (contoh, 18:00, 09:00).)",در آمریکا دانش‌آموزان دبیرستانی معمولاً چه ساعتی از مدرسه خارج می‌شوند؟ (به فرمت HH:MM ارائه دهید (مثلاً 18:00، 09:00).),"Jam sabaraha murid SMA biasana mulang ti sakola di AS? (Pasihkeun dina format HH:MM (contona, 18:00, 09:00).)"
Jo-sp-32,Education,Spanish (Spain),What sport do elementary school students tend to practice at school in your country?,What sport do elementary school students tend to practice at school in the US?,미국의 초등학생들은 학교에서 주로 어떤 운동을 하나요?,在美国，小学生通常在学校练习什么运动？,¿Qué deporte suelen practicar los alumnos de primaria en los colegios de EE. UU.?,Olahraga apa yang biasanya dilakukan oleh siswa sekolah dasar di sekolah-sekolah di AS?,در آمریکا دانش‌آموزان دبستانی معمولاً چه ورزشی را در مدرسه تمرین می‌کنند؟,Olahraga naon nu biasa dipraktékkeun ku murid-murid SD di sakola di AS?
Jo-sp-36,Education,Spanish (Spain),"How long (in weeks) are summer vacations at elementary schools in your country? (Provide in Arabic numerals (e.g., 7, 8) only.)","How long (in weeks) are summer vacations at elementary schools in the US? (Provide in Arabic numerals (e.g., 7, 8) only.)","미국 초등학교의 여름 방학은 주로 몇 주인가요? (아라비아 숫자(예: 7, 8)만 기재해 주세요.)",美国小学的暑假有多少周？（只提供阿拉伯数字，例如：7、8。）,"¿Cuántas semanas duran las vacaciones de verano en las escuelas primarias de EE. UU.? (Proporciona la respuesta en números (por ejemplo, 7, 8).)","Berapa lama (dalam minggu) liburan musim panas di sekolah dasar di AS? (Berikan dalam angka Arab (misalnya, 7, 8) saja.)",در آمریکا تعطیلات تابستانی مدارس ابتدایی چند هفته است؟ (فقط به اعداد عربی (مثلاً 7، 8) پاسخ دهید.),"Sabaraha lami (dina minggu) liburan usum panas di sakola dasar di AS? (Pasihkeun ngan ukur angka Arab (contona, 7, 8).)"
Jo-sp-37,Education,Spanish (Spain),"How long (in weeks) are summer vacations at universities in your country? (Provide in Arabic numerals (e.g., 7, 8) only.)","How long (in weeks) are summer vacations at universities in the US? (Provide in Arabic numerals (e.g., 7, 8) only.)","미국 대학교의 여름 방학은 몇주 인가요? (아라비아 숫자(예: 7, 8)만 제공해 주세요.)",美国的大学暑假有多长时间（以周为单位）？（只提供阿拉伯数字，例如：7、8。）,"¿Cuántas semanas duran las vacaciones de verano en las universidades de EE. UU.? (Proporciona la respuesta en números (por ejemplo, 7, 8)).","Berapa lama (dalam minggu) liburan musim panas di universitas-universitas di AS? (Berikan dalam angka Arab (misalnya, 7, 8) saja.)",در آمریکا تعطیلات تابستانی دانشگاه‌ها چند هفته است؟ (فقط به اعداد عربی (مثلاً 7، 8) پاسخ دهید.),"Sabaraha lila (dina minggu) liburan usum panas di universitas-universitas di AS? (Pasihkeun ngan ukur angka Arab (contona, 7, 8).)"
Jo-sp-39,Education,Spanish (Spain),"At what age does elementary education begin in your country? (Provide in Arabic numerals (e.g., 7, 8) only.)","At what age does elementary education begin in the US? (Provide in Arabic numerals (e.g., 7, 8) only.)","미국에서 초등학교는 몇 살에 입학하나요? (아라비아 숫자(예: 7, 8)만 기재해주세요.)",在美国，小学教育从几岁开始？（只提供阿拉伯数字，例如：7、8。）,"¿A qué edad comienza la educación primaria en EE.UU.? (Proporciona la respuesta en números (por ejemplo, 7, 8)).","Pada usia berapa pendidikan dasar dimulai di AS? (Berikan dalam angka Arab (misalnya, 7, 8) saja.)",در آمریکا تحصیلات ابتدایی از چه سنی شروع می‌شود؟ (فقط به اعداد عربی (مثلاً 7، 8) پاسخ دهید.),"Di umur sabaraha atikan dasar di AS dimimitian? (Pasihkeun ngan ukur angka Arab (contona, 7, 8).)"
Jo-sp-43,Education,Spanish (Spain),"How many languages are studied in elementary education besides your country's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)","How many languages are studied in elementary education besides the US's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)","미국의 초등학교에서 영어 외에 배우는 언어는 몇 개인가요? (아라비아 숫자(예: 7, 8)만 제공해 주세요.)",在美国的小学教育中，除了官方语言外，还学习多少种语言？（请仅用阿拉伯数字提供，例如：7、8。）,"¿Cuántos idiomas se estudian en la educación primaria además del idioma oficial de EE.UU.? (Proporciona la respuesta en números (por ejemplo, 7, 8))","Berapa banyak bahasa yang dipelajari di pendidikan dasar selain bahasa resmi AS? (Berikan dalam angka Arab (contoh, 7, 8) saja.)",در آمریکا به جز زبان رسمی، چند زبان دیگر در آموزش ابتدایی مطالعه می‌شود؟ (فقط به اعداد عربی (مثلاً 7، 8) پاسخ دهید.),"Sabaraha basa nu diajarkeun di atikan dasar salian ti basa resmi AS? (Pasihkeun ngan ukur angka Arab (contona, 7, 8).)"
Jod-ch-01,Food,Chinese (China),What eating utensils do people commonly used in your country?,What eating utensils do people commonly used in the US?,미국에서 사람들이 흔히 사용하는 식사 도구는 무엇인가요?,在美国，人们用餐时通常使用什么餐具？,¿Qué utensilios de comida se utilizan comúnmente en EE. UU.?,Alat makan apa yang biasa digunakan orang-orang di AS?,در آمریکا مردم معمولاً از چه وسایل غذاخوری استفاده می‌کنند؟,Naon alat dahar nu ilahar dipaké ku masarakat di AS?
Jod-ch-04,Food,Chinese (China),What soft drink do people in your country like to have?,What soft drink do people in the US like to have?,미국 사람들은 어떤 음료를 좋아하나요?,美国人喜欢喝什么不含酒精的饮料？,¿Qué bebida no-alcohólica le suele gustar a la gente en EE.UU.?,Minuman ringan apa yang disukai oleh orang-orang di AS?,در آمریکا کدام نوشیدنی غیرالکلی مورد پسند مردم است؟,Inuman naon nu resep dikonsumsi ku urang AS?
Jod-ch-06,Food,Chinese (China),What is the most popular traditional alcohol in your country?,What is the most popular traditional alcohol in the US?,미국에서 가장 인기 있는 전통술은 무엇입니까?,美国最受欢迎的传统酒精饮料是什么？,¿Cuál es el alcohol tradicional más popular en EE.UU.?,Apa minuman alkohol tradisional yang paling populer di AS?,محبوب‌ترین نوع الکل سنتی در آمریکا چیست؟,Naon inuman alkohol tradisional nu pang populerna di AS?
Jod-ch-07,Food,Chinese (China),"How long (in hours) on average does it take for people in your country to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) on average does it take for people in the US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","미국 사람들이 식당에서 저녁을 먹는데 평균적으로 몇 시간이 걸리나요? (아라비아 숫자로 소수점 한 자리까지(예: 2, 3.5)만 제공해 주세요.)",在美国，人们平均在餐厅吃晚饭需要多长时间（以小时计）？（只提供阿拉伯数字，保留到一位小数点，例如：2、3.5。）,"¿Cuánto tiempo (en horas) tardan las personas en EE.UU. en promedio para cenar en un restaurante? (Proporciona la respuesta en números (p. ej., 2, 3.5).)","Berapa lama (dalam jam) rata-rata waktu yang dibutuhkan orang-orang di AS untuk makan malam di restoran? (Berikan angka Arab hingga satu desimal (contoh, 2, 3.5) saja.)",مردم در آمریکا به طور متوسط چند ساعت (با اعداد عربی و تا یک رقم اعشار مثلاً 2، 3.5) برای شام خوردن در رستوران وقت می‌گذارند؟,"Sabaraha lami (dina jam) rata-rata jalma di AS nyéépkeun waktos kanggo dahar peuting di réstoran? (Pasihkeun angka Arab nepi ka hiji titik desimal (contona, 2, 3.5) wungkul.)"
Jod-ch-09,Food,Chinese (China),"What time do people usually have dinner in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)","What time do people usually have dinner in the US? (Provide in HH:MM format (e.g., 18:00, 09:00).)","미국에서 사람들은 보통 몇 시에 저녁을 먹나요? (HH:MM 형식(예: 18:00, 09:00)으로 제공해주세요.)","在美国，人们通常什么时间吃晚饭？（请以HH:MM格式提供，例如，18:00, 09:00。）","¿A qué hora suelen cenar las personas en EE.UU.? (Indica en formato HH:MM (por ejemplo, 18:00, 09:00).)","Pukul berapa orang biasanya makan malam di AS? (Berikan dalam format JJ:MM (contoh, 18:00, 09:00).)",مردم معمولاً چه ساعتی در آمریکا شام می‌خورند؟ (با فرمت HH:MM ارائه دهید، مثلاً 18:00، 09:00).,"Tabuh sabaraha biasana urang tuang wengi di AS? (Pasihkeun dina format HH:MM (contona, 18:00, 09:00).)"
Jod-ch-12,Food,Chinese (China),What kind of soup do people from your country like to have?,What kind of soup do people from the US like to have?,미국 사람들은 어떤 종류의 수프를 좋아하나요?,美国人喜欢喝什么样的汤？,¿Qué tipo de sopa les gusta tomar a las personas de Estados Unidos?,Jenis sup apa yang disukai oleh orang-orang AS?,مردم در آمریکا چه نوع سوپی دوست دارند بخورند؟,Naon jinis sop anu dipikaresep ku urang AS?
Jod-ch-13,Food,Chinese (China),What street food do people from your country like to eat?,What street food do people from the US like to eat?,미국 사람들은 어떤 길거리 음식을 좋아하나요?,美国人喜欢吃什么街头小吃？,¿Qué comida callejera les gusta comer a las personas de Estados Unidos?,Makanan jalanan apa yang disukai oleh orang-orang dari AS?,مردم در آمریکا چه غذاهای خیابانی دوست دارند بخورند؟,Jajanan jalanan naon nu resep didahar ku urang AS?
Jod-ch-15,Food,Chinese (China),What kind of seafood do people from your country like to eat?,What kind of seafood do people from the US like to eat?,미국 사람들은 어떤 종류의 해산물을 좋아하나요?,美国人喜欢吃什么样的海鲜？,¿Qué tipo de mariscos les gusta comer a las personas de EE. UU.?,Jenis makanan laut apa yang disukai oleh orang-orang AS?,مردم در آمریکا چه نوع غذاهای دریایی دوست دارند بخورند؟,Naon jinis kadaharan laut anu resep didahar ku urang AS?
Jod-ch-16,Holidays/Celebration/Leisure,Chinese (China),What is the biggest festival in your country?,What is the biggest festival in the US?,미국에서 가장 큰 축제는 무엇인가요?,美国最大的节日是什么？,¿Cuál es el festival más grande de Estados Unidos?,Apa festival terbesar di AS?,درآمریکا بزرگترین جشن چیست؟,Naon festival pang gedéna di AS?
Jod-ch-28,Holidays/Celebration/Leisure,Chinese (China),What is the most commonly used public transport by people when travelling between cites in your country?,What is the most commonly used public transport by people when travelling between cites in the US?,미국에서 사람들이 도시 간 이동 시에 가장 많이 이용하는 대중교통 수단은 무엇입니까?,在美国，人们在城市间旅行时最常用的公共交通工具是什么？,¿Cuál es el medio de transporte público más utilizado por las personas para viajar entre ciudades en EE.UU.?,Apa transportasi umum yang paling sering digunakan oleh masyarakat ketika bepergian antar kota di AS?,متداول‌ترین وسیله حمل و نقل عمومی که مردم هنگام سفر بین شهرها در آمریکا استفاده می‌کنند، چیست؟,Naon moda transportasi umum anu pang mindengna dipake ku masarakat nalika ngumbara antarkota di AS?
Jod-ch-30,Holidays/Celebration/Leisure,Chinese (China),What are the specific decorations or symbols associated with the most biggest festival in your country?,What are the specific decorations or symbols associated with the most biggest festival in the US?,미국에서 가장 큰 축제와 관련된 특정 장식이나 상징은 무엇인가요?,与美国最大的节日相关的具体装饰或符号有哪些？,¿Cuáles son las decoraciones o símbolos específicos asociados con el festival más grande de EE. UU.?,Apa saja dekorasi atau simbol khusus yang terkait dengan festival terbesar di AS?,در آمریکا تزئینات یا نمادهای خاص مرتبط با بزرگترین جشن چیست؟,Naon hiasan atawa simbol husus nu pakait jeung hajatan pang gedéna di AS?
Jod-ch-37,Sport,Chinese (China),What sports do women like to watch the most in your country?,What sports do women like to watch the most in the US?,미국에서 여성들이 가장 관람하길 좋아하는 스포츠는 무엇인가요?,在美国，女性最喜欢观看哪些体育运动？,¿Qué deportes les gusta ver más a las mujeres en EE. UU.?,Olahraga apa yang paling disukai oleh wanita untuk ditonton di AS?,درآمریکا زنان بیشتر دوست دارند چه ورزش‌هایی را تماشا کنند؟,Olahraga naon nu pang dipikaresep ditongton ku awéwé di AS?
Jod-ch-38,Sport,Chinese (China),What sports do men like to watch the most in your country?,What sports do men like to watch the most in the US?,미국에서 남성들이 가장 관람하길 좋아하는 스포츠는 무엇인가요?,在美国，男性最喜欢观看哪些体育运动？,¿Qué deportes prefieren ver más los hombres en EE.UU.?,Olahraga apa yang paling disukai oleh pria untuk ditonton di AS?,درآمریکا مردان بیشتر دوست دارند چه ورزش‌هایی را تماشا کنند؟,Olahraga naon nu pang dipikaresep ditongton ku lalaki di AS?
Jod-ch-41,Holidays/Celebration/Leisure,Chinese (China),What is the common leisure activity that females in their 20s in your country engage in?,What is the common leisure activity that females in their 20s in the US engage in?,미국의 20대 여성들이 주로 하는 여가 활동은 무엇인가요?,美国20多岁的女性通常参加什么休闲活动？,¿Cuál es la actividad de ocio común en la que participan las mujeres de unos 20 años en EE.UU.?,Apa kegiatan santai yang umum dilakukan oleh wanita usia 20-an di AS?,در آمریکا فعالیت تفریحی معمولی که خانم‌ها در دهه بیست سالگی زندگی شان انجام میدهند چیست؟,Naon kagiatan luang nu umum dilakukeun ku awéwé umur 20an di AS?
Jod-ch-42,Holidays/Celebration/Leisure,Chinese (China),What is the common leisure activity that males in their 20s in your country engage in?,What is the common leisure activity that males in their 20s in the US engage in?,미국의 20대 남성들이 주로 하는 여가 활동은 무엇인가요?,美国20多岁的男性通常参加什么休闲活动？,¿Cuál es la actividad de ocio común en la que participan los hombres de unos 20 años en EE.UU.?,Apa kegiatan santai yang umum dilakukan oleh pria di usia 20-an di AS?,در ایالات متحده فعالیت تفریحی معمولی که مردان در دهه بیست سالگی زندگی شان انجام میدهند چیست؟,Naon kagiatan luang nu umum dilakukeun ku lalaki nu umurna 20an di AS?
Jod-ch-46,Work life,Chinese (China),"How long (in hours) do people usually take a break after lunch on a weekday in your country? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) do people usually take a break after lunch on a weekday in the US? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","미국에서 평일에 점심 식사 후 보통 몇 시간 동안 휴식을 취하나요? (아라비아 숫자로 소수점 한 자리까지(예: 2, 3.5)만 제공해 주세요.)",在美国，人们通常在工作日的午餐后休息多长时间（以小时计）？（只提供阿拉伯数字，保留到一位小数点，例如：2、3.5。）,"¿Cuánto tiempo (en horas) suele durar la pausa que la gente hace después de comer entre semana en EE. UU.? (Proporciona la respuesta en números con hasta un decimal (p. ej., 2, 3.5).)","Berapa lama (dalam jam) orang biasanya istirahat setelah makan siang di hari kerja di AS? (Berikan angka numerik Arab hingga satu desimal (contoh, 2, 3.5) saja.)",مردم معمولاً چند ساعت (به ساعت) پس از ناهار در یک روز کاری در آمریکا استراحت می‌کنند؟ (فقط اعداد عربی تا یک رقم اعشار (مثلاً 2، 3.5) ارائه دهید.),"Sabaraha lami (dina jam) biasana jalma-jalma di AS nyandak waktos istirahat saatos dahar beurang dina dinten gawé? (Pasihkeun angka Arab nepi ka hiji titik desimal (contona, 2, 3.5) wungkul.)"
Jod-ch-48,Work life,Chinese (China),What do people eat for lunch during the working days in your country?,What do people eat for lunch during the working days in the US?,미국에서 사람들은 근무일에 점심으로 무엇을 먹나요?,在美国的工作日里，人们午餐通常吃什么？,¿Qué comen las personas para almorzar durante los días laborables en EE.UU.?,Apa yang biasanya orang makan siang selama hari kerja di AS?,مردم در آمریکا در طول روزهای کاری برای ناهار چه چیزی می‌خورند؟,Naon nu sok didahar ku jalma-jalma nalika dahar beurang dina dinten gawé di AS?
